Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3,ConversionTest,testBinaryToHexDigit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 19
commons-lang,org.apache.commons.lang3,ConversionTest,testBinaryToHexDigit_2args,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
commons-lang,org.apache.commons.lang3,ConversionTest,testBinaryToHexDigitMsb0_bits,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
commons-lang,org.apache.commons.lang3,ConversionTest,testBinaryToHexDigitMsb0_4bits_2args,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
commons-lang,org.apache.commons.lang3,ConversionTest,testBinaryBeMsb0ToHexDigit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
commons-lang,org.apache.commons.lang3,ConversionTest,testBinaryBeMsb0ToHexDigit_2args,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 28
commons-lang,org.apache.commons.lang3,ConversionTest,testIntToHexDigit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
commons-lang,org.apache.commons.lang3,ConversionTest,testIntToHexDigitMsb0,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
commons-lang,org.apache.commons.lang3,ConversionTest,testIntArrayToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,ConversionTest,testShortArrayToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,ConversionTest,testByteArrayToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,ConversionTest,testShortArrayToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testByteArrayToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testByteArrayToShort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testHexToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testHexToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testHexToShort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testHexToByte,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testBinaryToLong,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testBinaryToInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testBinaryToShort,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testBinaryToByte,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,ConversionTest,testLongToIntArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-lang,org.apache.commons.lang3,ConversionTest,testLongToShortArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
commons-lang,org.apache.commons.lang3,ConversionTest,testIntToShortArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-lang,org.apache.commons.lang3,ConversionTest,testLongToByteArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
commons-lang,org.apache.commons.lang3,ConversionTest,testIntToByteArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-lang,org.apache.commons.lang3,ConversionTest,testShortToByteArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
commons-lang,org.apache.commons.lang3,ConversionTest,testLongToHex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 20
commons-lang,org.apache.commons.lang3,ConversionTest,testIntToHex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 20
commons-lang,org.apache.commons.lang3,ConversionTest,testShortToHex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
commons-lang,org.apache.commons.lang3,ConversionTest,testByteToHex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-lang,org.apache.commons.lang3,ConversionTest,testLongToBinary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-lang,org.apache.commons.lang3,ConversionTest,testIntToBinary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-lang,org.apache.commons.lang3,ConversionTest,testShortToBinary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-lang,org.apache.commons.lang3,ConversionTest,testByteToBinary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-lang,org.apache.commons.lang3,ConversionTest,testUuidToByteArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-lang,org.apache.commons.lang3,ConversionTest,testByteArrayToUuid,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-lang,org.apache.commons.lang3,SystemUtilsTest,test_IS_JAVA,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 30
commons-lang,org.apache.commons.lang3,SystemUtilsTest,test_IS_JAVA,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
commons-lang,org.apache.commons.lang3,SystemUtilsTest,test_IS_OS,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 25
commons-lang,org.apache.commons.lang3,SystemUtilsTest,test_IS_OS,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
commons-lang,org.apache.commons.lang3,SystemUtilsTest,test_IS_zOS,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-lang,org.apache.commons.lang3,SystemUtilsTest,test_IS_zOS,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testConstructor,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testGetEnvironmentVariableAbsent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testGetJavaHome,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testGetJavaIoTmpDir,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testGetUserDir,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testGetUserHome,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testGetUserName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testGetUserName,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.commons.lang3.SystemUtils.getUserName; org.apache.commons.lang3.SystemUtils.getUserName
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testIsJavaVersionAtLeast,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 78
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testIsJavaVersionAtLeast,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testIsJavaVersionAtMost,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 78
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testIsJavaVersionAtMost,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testJavaAwtHeadless,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testJavaAwtHeadless,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testJavaVersionMatches,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 150
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testOSMatchesName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testOSMatchesNameAndVersion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,SystemUtilsTest,testOsVersionMatches,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 22
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest,testEquivalence,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest,testNonEquivalentAnnotationsOfSameType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest,testAnnotationsOfDifferingTypes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest,testOneArgNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest,testIsValidAnnotationMemberType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest,testGeneratedAnnotationEquivalentToRealAnnotation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest,testHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-lang,org.apache.commons.lang3,AnnotationUtilsTest,testToString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
commons-lang,org.apache.commons.lang3,StringUtilsStartsEndsWithTest,testStartsWith,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-lang,org.apache.commons.lang3,StringUtilsStartsEndsWithTest,testStartsWithIgnoreCase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
commons-lang,org.apache.commons.lang3,StringUtilsStartsEndsWithTest,testStartsWithAny,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
commons-lang,org.apache.commons.lang3,StringUtilsStartsEndsWithTest,testEndsWith,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
commons-lang,org.apache.commons.lang3,StringUtilsStartsEndsWithTest,testEndsWithIgnoreCase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 19
commons-lang,org.apache.commons.lang3,StringUtilsStartsEndsWithTest,testEndsWithAny,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
commons-lang,org.apache.commons.lang3,StreamsTest,testSimpleStreamMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,StreamsTest,testSimpleStreamMapFailing,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,StreamsTest,testSimpleStreamForEach,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,StreamsTest,testToArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
commons-lang,org.apache.commons.lang3,StreamsTest,simpleStreamForEachFailing,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
commons-lang,org.apache.commons.lang3,StreamsTest,testSimpleStreamFilter,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-lang,org.apache.commons.lang3,StreamsTest,simpleStreamFilterFailing,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_convertClassesToClassNames_List,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_convertClassNamesToClasses_List,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getAbbreviatedName_Class,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getAbbreviatedName_String,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 18
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getAbbreviatedName_TooLongHint,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getAllInterfaces_Class,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getAllSuperclasses_Class,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getCanonicalName_Class,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 27
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getCanonicalName_Class_String,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 29
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getClass,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getClass,Empty test,The tool detected the smell in this test method because the test is empty.
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getName_Class,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 28
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getName_Object,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getPackageCanonicalName_Class,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getPackageCanonicalName_Object,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getPackageCanonicalName_String,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getPackageName_Class,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getPackageName_Object,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getPackageName_String,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getShortCanonicalName_Class,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getShortCanonicalName_Object,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getShortCanonicalName_String,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 21
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getShortClassName_Class,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 27
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getShortClassName_Object,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getShortClassName_String,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
commons-lang,org.apache.commons.lang3,ClassUtilsTest,test_getSimpleName_Class,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 26
